Label,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128_finetuning_old/checkpoint-15486,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128/checkpoint-15486
ConflictEvent,0.4884318766066838,0.5382716049382715
ContactEvent,0.06818181818181818,0.08695652173913043
CognitiveEvent,0.09523809523809525,0.0
MovementTransportEvent,0.23255813953488372,0.24489795918367344
GenericCrimeEvent,0.0,0.0
JusticeEvent,0.46666666666666673,0.6046511627906976
ArtifactExistanceEvent,0.0,0.16666666666666669
PersonnelEvent,0.0,0.0
MedicalEvent,0.6666666666666666,0.8
DisasterEvent,0.37499999999999994,0.4
ControlEvent,0.0,0.0
TransactionEvent,0.8275862068965518,0.6956521739130435
wikievents.ner.entities
Person,0.5387533875338754,0.9044382247101159
GPE,0.7327001356852103,0.8800904977375567
Organization,0.6037151702786379,0.7595307917888564
Facility,0.5942857142857143,0.6987341772151899
Location,0.3770491803278689,0.5217391304347827
Numeric,0.22900763358778625,0.0
Vehicle,0.6093750000000001,0.6956521739130435
Weapon,0.5734265734265733,0.6956521739130435
BodyPart,0.0,0.0
JobTitle,0.20000000000000004,0.0
Abstract,0.0,0.0
Information,0.0,0.0
SideOfConflict,0.0,0.0
MedicalHealthIssue,0.0,0.0
Money,0.4444444444444445,0.5
CommercialProduct,0.0,0.0
wnut17.ner.entities
Location,0.5714285714285714,0.6436781609195402
Group,0.37004405286343606,0.3813559322033898
Person,0.5871559633027522,0.6628242074927955
CreativeWork,0.3867924528301887,0.49289099526066354
Corporation,0.39603960396039606,0.35714285714285715
Product,0.18543046357615894,0.25925925925925924
e3c.ner.entities
ClinicalEntity,0.6257562662057045,0.5947767481044651
broadtwitter.ner.entities
Person,0.42851577717179595,0.40537944284341976
Location,0.6490196078431372,0.6876790830945558
Organization,0.4529616724738676,0.4714285714285714
fabner.ner.entities
ConceptPrinciples,0.011115227862171177,0.002271006813020439
ManufacturingProcess,0.4424961320268179,0.5510204081632653
Application,0.14307458143074583,0.07972270363951474
Material,0.3395872420262664,0.3773100616016427
ProcessCharacterization,0.16502946954813358,0.16023738872403562
MechanicalProperties,0.40643863179074446,0.3975741239892183
ProcessParameters,0.1476510067114094,0.21001615508885302
MachineEquipment,0.06896551724137931,0.15757575757575756
EnablingTechnology,0.20689655172413793,0.21220159151193635
EngineeringFeatures,0.1673121611154144,0.17384952520087654
ManufacturingStandards,0.26666666666666666,0.21739130434782608
Biomedical,0.1981981981981982,0.25833333333333336
harveyner.ner.entities
Point,0.3918575063613231,0.33879781420765026
Area,0.4664179104477612,0.4253246753246753
Road,0.3605150214592275,0.40723981900452494
River,0.691358024691358,0.7027027027027027
casie.eae.events
DatabreachAttack,0.9844827586206897,0.9818496110630942
RansomAttack,0.9899216125419934,0.9887892376681614
VulnerabilityPatch,0.9831181727904668,0.8808743169398907
VulnerabilityDiscover,0.9909407665505225,0.9096385542168675
PhisingAttack,0.959921798631476,0.9905123339658444
casie.ee.events
DatabreachAttack,0.5005767012687428,0.5033112582781456
RansomAttack,0.7137254901960784,0.7335811648079306
VulnerabilityPatch,0.7088888888888889,0.6427718040621266
VulnerabilityDiscover,0.6382330540746383,0.598528209321341
PhisingAttack,0.713963963963964,0.6644144144144145
mitmovie.ner.entities
Genre,0.6254912970241437,0.5925480769230769
Year,0.5708446866485014,0.4198369565217391
Plot,0.32611832611832614,0.07393715341959335
RatingsAverage,0.2641509433962264,0.2814070351758794
Actor,0.8720999405116002,0.8719475878499107
Review,0.06015037593984963,0.10309278350515463
Tittle,0.5835806132542037,0.7309160305343512
Character,0.47863247863247865,0.4383561643835617
